Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Jacob Wilson","OAK",1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Jacob Wilson",33266,805779
"Will Wagner","TOR",5,15,16,8,5,3,0,0,2,3,1,0,3,0,0,0,0,0,0,0.533333333,"Will Wagner",29634,695238
"Samad Taylor","SEA",3,5,5,2,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0.4,"Samad Taylor",22274,669392
"Austin Wynns","CIN",7,19,20,7,3,4,0,0,3,2,0,0,5,1,0,0,0,0,0,0.368421052,"Austin Wynns",15271,642851
"Grant McCray","SFG",4,14,15,5,2,2,0,1,1,2,1,0,5,0,0,0,0,0,0,0.357142857,"Grant McCray",25690,687529
"Alex Call","WSN",26,87,99,31,20,8,0,3,13,14,10,0,18,2,0,0,2,4,1,0.356321839,"Alex Call",19296,669743
"Xavier Edwards","MIA",43,157,187,55,46,7,1,1,24,13,26,0,29,0,3,1,0,21,2,0.350318471,"Xavier Edwards",22266,669364
"Bobby Witt Jr.","KCR",124,494,547,173,102,35,11,25,107,91,40,6,82,6,7,0,3,25,12,0.350202429,"Bobby Witt Jr.",25764,677951
"José Tena","- - -",8,20,21,7,6,1,0,0,1,3,1,0,5,0,0,0,0,0,0,0.35,"Jose Tena",23691,677588
"Jose Iglesias","NYM",52,149,163,51,36,11,1,3,22,20,10,1,19,3,1,0,2,2,1,0.342281879,"Jose Iglesias",10231,578428
"Weston Wilson","PHI",18,44,47,15,9,2,1,3,8,7,2,0,10,0,1,0,0,2,0,0.34090909,"Weston Wilson",19358,642215
"Diego A. Castillo","MIN",4,6,8,2,1,1,0,0,3,2,2,0,1,0,0,0,0,0,0,0.333333333,"Diego A. Castillo",19906,660636
"Matthew Batten","SDP",1,3,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,"Matthew Batten",20157,676946
"Orelvis Martinez","TOR",1,3,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.333333333,"Orelvis Martinez",25967,682619
"Junior Caminero","TBR",5,18,22,6,6,0,0,0,0,1,4,1,5,0,0,0,0,2,0,0.333333333,"Junior Caminero",28163,691406
"Jace Jung","DET",3,9,12,3,3,0,0,0,0,1,3,0,2,0,0,0,0,0,1,0.333333333,"Jace Jung",31437,690291
"Aaron Judge","NYY",123,438,550,145,71,29,1,44,96,111,102,14,135,7,2,0,17,6,0,0.331050228,"Aaron Judge",15640,592450
"David Bote","CHC",35,44,46,14,10,4,0,0,4,6,2,0,12,0,0,0,1,0,0,0.318181818,"David Bote",14593,623520
"César Salazar","HOU",9,22,29,7,5,2,0,0,5,8,2,0,4,2,2,1,0,0,0,0.318181818,"Cesar Salazar",21587,663967
"Vladimir Guerrero Jr.","TOR",124,477,539,151,92,33,1,25,72,80,55,4,79,4,3,0,13,2,2,0.316561844,"Vladimir Guerrero Jr.",19611,665489
"Steven Kwan","CLE",98,392,430,124,94,14,3,13,70,36,33,0,37,3,0,2,5,9,4,0.31632653,"Steven Kwan",24610,680757
"Tyler Fitzgerald","SFG",63,190,208,60,33,11,2,14,37,27,14,0,58,3,1,0,2,14,3,0.315789473,"Tyler Fitzgerald",26208,666149
"Rece Hinds","CIN",10,38,40,12,2,4,1,5,7,11,1,0,12,1,0,0,0,2,0,0.315789473,"Rece Hinds",27493,677956
"Christian Yelich","MIL",73,270,315,85,59,12,3,11,44,42,40,3,58,2,1,1,3,21,1,0.314814814,"Christian Yelich",11477,592885
"Blake Sabol","SFG",11,32,38,10,8,2,0,0,3,1,5,1,9,1,0,0,0,0,0,0.3125,"Blake Sabol",25805,666165
"Trea Turner","PHI",83,350,374,109,76,19,0,14,65,43,19,0,70,5,0,0,4,14,1,0.311428571,"Trea Turner",16252,607208
"Adrian Del Castillo","ARI",8,29,32,9,5,2,0,2,5,8,3,0,11,0,0,0,0,0,0,0.310344827,"Adrian Del Castillo",29554,680728
"Jake McCarthy","ARI",106,300,344,93,70,10,7,6,48,41,28,1,57,9,3,4,1,18,4,0.31,"Jake McCarthy",21622,664983
"Marcell Ozuna","ATL",124,466,527,144,84,24,0,36,79,93,54,2,130,3,4,0,18,0,0,0.309012875,"Marcell Ozuna",10324,542303
"Mookie Betts","LAD",79,311,360,96,64,17,3,12,55,44,48,0,42,1,0,0,5,10,1,0.308681672,"Mookie Betts",13611,605141
"Carlos Correa","MIN",75,279,317,86,55,16,2,13,51,47,30,2,53,3,4,0,5,0,0,0.308243727,"Carlos Correa",14162,621043
"Eric Haase","MIL",16,39,41,12,9,0,0,3,4,10,2,0,16,0,0,0,0,0,0,0.307692307,"Eric Haase",14111,606992
"Jose Miranda","MIN",94,317,341,97,59,26,3,9,40,46,16,1,48,5,3,0,9,2,1,0.30599369,"Jose Miranda",20538,669304
"Yordan Alvarez","HOU",117,435,504,133,78,28,2,25,70,66,57,13,75,9,3,0,12,5,0,0.305747126,"Yordan Alvarez",19556,670541
"Amed Rosario","- - -",81,275,287,84,61,18,3,2,23,28,8,0,50,3,1,0,9,10,5,0.305454545,"Amed Rosario",15518,642708
"Luis Arraez","- - -",116,495,522,151,123,23,2,3,64,34,18,1,26,6,1,2,17,6,3,0.305050505,"Luis Arraez",18568,650333
"Donovan Solano","SDP",66,204,222,62,48,9,0,5,23,27,14,0,44,3,1,0,6,1,1,0.303921568,"Donovan Solano",8623,456781
"Freddy Fermin","KCR",81,251,275,76,58,12,0,6,35,33,19,1,46,2,2,1,7,1,0,0.302788844,"Freddy Fermin",21840,666023
"Jose Altuve","HOU",120,495,535,149,111,22,0,16,70,53,36,2,95,4,0,0,10,16,6,0.301010101,"Jose Altuve",5417,514888
"Juan Soto","NYY",121,446,556,134,72,24,4,34,103,87,104,1,85,2,4,0,7,5,2,0.30044843,"Juan Soto",20123,665742
"Luis Rengifo","LAA",78,283,304,85,65,13,1,6,41,30,16,0,44,4,0,1,6,24,7,0.300353356,"Luis Rengifo",19858,650859
"Ketel Marte","ARI",116,436,500,130,78,20,2,30,81,81,52,6,89,3,9,0,8,6,1,0.298165137,"Ketel Marte",13613,606466
"Yainer Diaz","HOU",112,436,463,130,93,21,3,13,51,69,18,1,73,2,7,0,16,1,0,0.298165137,"Yainer Diaz",23003,673237
"Masataka Yoshida","BOS",76,265,301,79,58,13,0,8,36,43,24,0,40,10,2,0,3,0,0,0.298113207,"Masataka Yoshida",31837,807799
"Rafael Devers","BOS",111,423,485,126,61,33,5,27,79,77,55,13,114,2,5,0,10,2,0,0.29787234,"Rafael Devers",17350,646240
"Rob Refsnyder","BOS",76,225,258,67,43,15,1,8,28,33,26,2,62,5,1,0,4,2,2,0.297777777,"Rob Refsnyder",13770,608701
"Alec Bohm","PHI",122,473,522,140,82,43,2,13,56,85,37,2,72,6,6,0,14,5,2,0.295983086,"Alec Bohm",21618,664761
"Rafael Marchán","PHI",17,51,56,15,8,4,0,3,8,6,3,0,8,1,0,1,1,0,0,0.294117647,"Rafael Marchan",21646,665561
"Freddie Freeman","LAD",116,428,507,125,77,29,2,17,69,72,63,7,77,10,6,0,10,6,2,0.292056074,"Freddie Freeman",5361,518692
"Brent Rooker","OAK",107,394,445,115,63,21,2,29,61,83,44,2,132,4,3,0,3,7,1,0.291878172,"Brent Rooker",19627,667670
"Luis García Jr.","WSN",109,398,420,116,80,21,1,14,46,59,21,2,67,0,1,0,9,19,3,0.291457286,"Luis Garcia Jr.",20391,671277
"Connor Wong","BOS",96,344,376,100,74,14,1,11,48,44,21,1,87,9,2,0,2,6,6,0.290697674,"Connor Wong",19896,657136
"Jurickson Profar","SDP",123,437,513,127,86,22,0,19,71,73,57,3,73,15,2,2,12,6,2,0.290617848,"Jurickson Profar",10815,595777
"Jackson Merrill","SDP",120,424,454,123,81,19,6,17,61,66,21,1,82,1,5,3,2,13,2,0.290094339,"Jackson Merrill",29490,701538
"Shohei Ohtani","LAD",122,483,559,140,67,29,5,39,94,88,67,8,126,3,4,0,6,37,4,0.289855072,"Shohei Ohtani",19755,660271
"Isiah Kiner-Falefa","- - -",97,314,341,91,68,11,4,8,37,38,14,0,48,8,2,3,10,6,1,0.289808917,"Isiah Kiner-Falefa",16512,643396
"Joc Pederson","ARI",102,287,348,83,48,15,1,19,48,56,43,2,82,11,3,1,3,5,1,0.289198606,"Joc Pederson",11899,592626
"Marco Luciano","SFG",17,45,48,13,9,3,1,0,8,1,3,0,14,0,0,0,1,0,0,0.288888888,"Marco Luciano",25616,682617
"Gunnar Henderson","BAL",123,489,559,141,79,23,6,33,98,77,62,1,126,6,2,0,2,14,2,0.288343558,"Gunnar Henderson",26289,683002
"Miguel Andujar","OAK",69,278,295,80,61,14,1,4,31,30,13,0,40,3,1,0,9,3,2,0.287769784,"Miguel Andujar",15878,609280
"Jarren Duran","BOS",122,516,567,148,83,37,13,15,83,61,43,0,128,4,3,1,2,31,4,0.286821705,"Jarren Duran",24617,680776
"Miguel Rojas","LAD",77,227,244,65,43,19,0,3,27,26,14,0,25,1,1,1,6,7,2,0.286343612,"Miguel Rojas",7802,500743
"Luis De Los Santos","TOR",3,7,8,2,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0.285714285,"Luis De Los Santos",21682,665782
"Andrés Chaparro","WSN",6,21,24,6,3,3,0,0,3,1,3,0,2,0,0,0,1,0,1,0.285714285,"Andres Chaparro",21797,665953
"Shay Whitcomb","HOU",2,7,8,2,1,1,0,0,1,0,1,0,3,0,0,0,0,0,0,0.285714285,"Shay Whitcomb",27789,694376
"Juan Yepez","WSN",38,144,160,41,26,12,0,3,19,17,12,0,25,1,3,0,6,2,1,0.284722222,"Juan Yepez",18400,660766
"James Wood","WSN",42,155,177,44,30,6,3,5,25,28,21,0,54,1,0,0,0,6,6,0.283870967,"James Wood",29518,695578
"Yoán Moncada","CHW",11,39,44,11,7,3,1,0,4,0,5,0,10,0,0,0,2,1,0,0.282051282,"Yoan Moncada",17232,660162
"William Contreras","MIL",120,476,533,134,83,32,2,17,80,71,52,2,107,3,2,0,16,5,2,0.281512605,"William Contreras",20503,661388
"Kevin Newman","ARI",91,249,269,70,50,17,1,2,36,23,13,1,41,0,2,5,5,8,1,0.281124497,"Kevin Newman",17696,621028
"Bryan Reynolds","PIT",118,477,529,134,89,23,3,19,55,69,44,1,120,6,2,0,5,6,2,0.280922431,"Bryan Reynolds",19326,668804
"Alexander Canario","CHC",15,25,28,7,5,1,0,1,4,2,2,0,11,1,0,0,0,1,0,0.28,"Alexander Canario",22842,672744
"Fernando Tatis Jr.","SDP",80,308,345,86,57,14,1,14,50,36,30,0,71,6,1,0,6,8,3,0.279220779,"Fernando Tatis Jr.",19709,665487
"Iván Herrera","STL",54,172,192,48,38,6,1,3,24,19,15,0,41,2,2,0,2,4,0,0.279069767,"Ivan Herrera",20599,671056
"Kerry Carpenter","DET",55,165,183,46,21,10,4,11,24,34,11,1,47,3,2,0,2,0,1,0.278787878,"Kerry Carpenter",25961,681481
"Heliot Ramos","SFG",86,341,373,95,61,14,2,18,36,57,29,2,102,1,2,0,7,4,1,0.278592375,"Heliot Ramos",22515,671218
"Bryce Harper","PHI",108,413,476,115,62,27,0,26,67,73,61,10,101,0,2,0,14,5,4,0.278450363,"Bryce Harper",11579,547180
"Starling Marte","NYM",67,248,269,69,51,9,2,7,38,30,17,0,57,2,1,1,6,12,0,0.278225806,"Starling Marte",9241,516782
"Geraldo Perdomo","ARI",61,209,237,58,43,13,1,1,37,22,18,0,35,3,4,3,4,4,1,0.277511961,"Geraldo Perdomo",22799,672695
"Joey Bart","PIT",56,173,194,48,28,8,0,12,27,36,17,0,51,3,1,0,6,0,0,0.277456647,"Joey Bart",21524,663698
"Jeremy Peña","HOU",121,465,504,129,96,20,1,12,61,56,21,0,85,12,4,2,10,14,5,0.277419354,"Jeremy Pena",21636,665161
"Mark Vientos","NYM",76,274,302,76,39,18,0,19,39,49,24,0,78,2,2,0,5,0,0,0.277372262,"Mark Vientos",22184,668901
"Brendan Rodgers","COL",106,393,423,109,75,23,1,10,52,44,25,1,93,3,2,0,10,1,0,0.277353689,"Brendan Rodgers",17907,663898
"Alec Burleson","STL",115,419,449,116,80,15,0,21,57,70,19,0,59,3,5,1,6,8,3,0.276849642,"Alec Burleson",27615,676475
"Ryan O'Hearn","BAL",107,336,381,93,63,15,3,12,50,48,40,2,47,2,3,0,4,3,1,0.276785714,"Ryan O'Hearn",16442,656811
"José Ramírez","CLE",121,477,522,132,72,27,1,32,92,100,40,9,65,1,4,0,6,29,3,0.276729559,"Jose Ramirez",13510,608070
"Salvador Perez","KCR",121,449,496,124,81,21,0,22,50,82,34,8,99,8,5,0,14,0,0,0.276169265,"Salvador Perez",7304,521692
"Armando Alvarez","OAK",10,29,31,8,7,1,0,0,7,2,2,0,5,0,0,0,1,1,0,0.275862068,"Armando Alvarez",19292,669137
"Byron Buxton","MIN",90,305,335,84,42,23,3,16,54,49,18,1,89,10,2,0,3,6,2,0.275409836,"Byron Buxton",14161,621439
"Victor Caratini","HOU",54,142,158,39,27,5,1,6,18,20,10,0,25,3,3,0,4,0,0,0.274647887,"Victor Caratini",14968,605170
"Jake Fraley","CIN",90,266,289,73,56,12,2,3,35,22,18,0,58,3,2,0,5,16,5,0.27443609,"Jake Fraley",19260,641584
"Masyn Winn","STL",115,434,474,119,82,22,4,11,59,43,33,1,78,1,4,2,1,10,5,0.274193548,"Masyn Winn",27479,691026
"Edmundo Sosa","PHI",71,208,226,57,37,10,4,6,30,27,10,0,54,6,1,0,2,7,1,0.274038461,"Edmundo Sosa",17022,624641
"Josh Jung","TEX",21,84,88,23,15,3,1,4,8,9,3,0,27,0,1,0,0,1,0,0.273809523,"Josh Jung",26299,673962
"LaMonte Wade Jr.","SFG",86,234,288,64,48,12,0,4,36,20,46,3,65,4,3,1,2,1,1,0.273504273,"LaMonte Wade Jr.",18126,664774
"Cody Bellinger","CHC",95,373,412,102,72,16,1,13,49,48,32,5,67,3,4,0,7,7,2,0.273458445,"Cody Bellinger",15998,641355
"Royce Lewis","MIN",46,161,183,44,19,10,0,15,29,35,20,2,38,0,2,0,3,0,0,0.273291925,"Royce Lewis",20437,668904
"Jon Berti","NYY",17,55,60,15,14,0,0,1,6,6,4,0,13,0,0,1,1,4,1,0.272727272,"Jon Berti",12037,542932
"Ezequiel Tovar","COL",121,506,537,138,84,33,2,19,66,55,17,0,154,3,5,5,12,4,4,0.272727272,"Ezequiel Tovar",24064,678662
"Nasim Nuñez","WSN",31,22,28,6,6,0,0,0,11,0,3,0,5,0,0,3,0,4,2,0.272727272,"Nasim Nunez",25979,683083
"Oscar Colás","CHW",13,33,38,9,9,0,0,0,1,4,4,0,10,1,0,0,0,0,1,0.272727272,"Oscar Colas",30162,693049
"Yandy Díaz","TBR",114,455,498,124,89,24,1,10,45,54,37,0,78,3,3,0,9,0,0,0.272527472,"Yandy Diaz",16578,650490
"Manny Machado","SDP",116,450,488,122,80,23,0,19,60,71,34,5,95,1,3,0,25,6,1,0.271111111,"Manny Machado",11493,592518
"Corey Seager","TEX",111,425,481,115,73,16,0,26,62,64,51,10,84,3,2,0,8,1,1,0.270588235,"Corey Seager",13624,608369
"Xander Bogaerts","SDP",75,300,321,81,63,11,1,6,39,26,18,0,56,1,2,0,7,7,1,0.27,"Xander Bogaerts",12161,593428
"Brendan Donovan","STL",117,452,503,122,85,27,1,9,48,54,35,0,63,12,4,0,3,3,4,0.269911504,"Brendan Donovan",24679,680977
"Pavin Smith","ARI",29,63,68,17,9,5,0,3,10,16,4,0,9,0,1,0,3,0,0,0.269841269,"Pavin Smith",19892,656976
"Elias Díaz","COL",84,304,327,82,59,18,0,5,26,36,17,2,64,4,2,0,13,0,0,0.269736842,"Elias Diaz",11680,553869
"Luis Torrens","NYM",32,89,97,24,15,6,0,3,13,15,6,0,20,1,1,0,2,0,1,0.269662921,"Luis Torrens",15905,620443
"Jackson Chourio","MIL",111,382,412,103,70,17,1,15,58,53,25,1,87,2,2,1,7,17,4,0.269633507,"Jackson Chourio",28806,694192
"Lourdes Gurriel Jr.","ARI",113,449,476,121,88,18,1,14,58,60,20,1,93,4,3,0,14,6,1,0.26948775,"Lourdes Gurriel Jr.",19238,666971
"Jordan Westburg","BAL",101,390,420,105,57,25,5,18,55,58,21,0,90,7,1,1,5,6,3,0.269230769,"Jordan Westburg",27815,676059
"David Peralta","SDP",62,160,175,43,28,9,0,6,24,22,13,0,35,2,0,0,3,1,0,0.26875,"David Peralta",2136,444482
"Bligh Madris","DET",21,67,75,18,14,3,0,1,8,5,6,0,20,0,1,0,0,0,0,0.268656716,"Bligh Madris",20054,676632
"Romy Gonzalez","BOS",58,123,137,33,20,8,1,4,14,22,10,0,32,1,3,0,4,7,2,0.268292682,"Romy Gonzalez",21562,663853
"Josh Smith","TEX",117,399,460,107,71,23,1,12,53,51,40,1,90,17,2,2,5,8,1,0.268170426,"Josh Smith",26396,669701
"Nolan Arenado","STL",117,444,488,119,89,17,0,13,51,55,34,0,66,4,5,0,10,2,1,0.268018018,"Nolan Arenado",9777,571448
"Tyler O'Neill","BOS",82,306,350,82,44,16,0,22,60,46,38,5,114,4,2,0,9,3,0,0.267973856,"Tyler O'Neill",15711,641933
"Ryan Mountcastle","BAL",114,437,469,117,75,27,2,13,51,61,26,0,102,1,5,0,13,3,0,0.267734553,"Ryan Mountcastle",18373,663624
"Randal Grichuk","ARI",79,198,218,53,32,15,2,4,23,25,15,0,38,3,2,0,5,0,0,0.267676767,"Randal Grichuk",10243,545341
"Ernie Clement","TOR",102,299,312,80,55,16,2,7,32,36,7,1,25,2,2,2,6,8,3,0.267558528,"Ernie Clement",20352,676391
"Brenton Doyle","COL",120,438,488,117,73,20,4,20,70,60,38,1,129,3,5,4,11,24,5,0.267123287,"Brenton Doyle",25479,686668
"Wilyer Abreu","BOS",97,300,335,80,39,25,2,14,50,48,31,0,96,1,3,0,4,7,2,0.266666666,"Wilyer Abreu",23772,677800
"Kyle Tucker","HOU",60,214,262,57,27,11,0,19,42,40,46,1,41,0,1,0,5,10,0,0.26635514,"Kyle Tucker",18345,663656
