"last_name, first_name","player_id","year","pa","home_run","k_percent","bb_percent","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","babip","xba","xslg","xwoba","xiso","avg_swing_speed","fast_swing_rate","avg_swing_length","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent","pull_percent","straightaway_percent","opposite_percent","groundballs_percent","flyballs_percent","linedrives_percent"
"Blackmon, Charlie","453568","2024","372","8",16.9,8.3,".402",".328","0.730","0.146",".294",".246",".361",".301",".115",67.1,2.5,"7.1",32.6,5.5,26.4,"95.528256148","91.861782704",18.7,48.6,44,35.2,20.9,38.8,25.3,23.8
"McCutchen, Andrew","457705","2024","437","16",26.1,11.7,".405",".336","0.741","0.170",".293",".237",".443",".340",".205",72.8,27.1,"7.6",33.2,12.1,37.7,"99.744797368","94.015092642",29.1,41.8,38.1,41.9,20,41.9,27.2,21.9
"Turner, Justin","457759","2024","395","7",18.5,10.6,".365",".347","0.712","0.115",".297",".248",".373",".324",".125",65.2,0.5,"6.4",38.1,4.1,32.2,"96.514350667","92.314967481",17.1,45.2,40.4,34.8,24.8,34.8,29.3,28.5
"Santana, Carlos","467793","2024","446","17",17.3,10.3,".429",".330","0.759","0.187",".260",".245",".419",".327",".174",71.4,17,"7.5",31.5,7.3,39.1,"99.299450755","93.901408991",23.5,42.9,48.9,32.8,18.3,37.9,29.3,22.7
"Pham, Tommy","502054","2024","350","7",20.6,8.6,".396",".331","0.727","0.132",".322",".282",".433",".341",".151",72.4,19.5,"6.9",35,6.9,41.1,"100.606692033","94.632794286",22,40.7,35.4,37,27.6,43.1,20.7,30.5
"Martinez, J.D.","502110","2024","383","12",27.9,10.4,".437",".346","0.783","0.178",".344",".268",".491",".364",".223",72.7,27.3,"8.4",40.5,14.5,45.4,"101.247018673","95.07939354",31.6,49,33.9,38.8,27.3,38.8,31.3,24.2
"Goldschmidt, Paul","502671","2024","506","19",27.3,7.5,".395",".292","0.687","0.164",".288",".248",".447",".325",".199",72.4,24,"7.8",33.5,9.8,48.5,"101.600602346","95.491242012",27.4,47,38.8,35.7,25.5,42.8,27.7,23.1
"Altuve, Jose","514888","2024","526","15",18.1,6.5,".434",".348","0.782","0.137",".344",".267",".411",".318",".144",69.1,11.3,"7.8",36.4,6.6,30.8,"97.241320417","92.643852063",21.7,52,52.2,32.8,15,41.7,25.4,27
"Marte, Starling","516782","2024","266","7",21.1,6.4,".416",".328","0.744","0.138",".333",".300",".457",".349",".157",72.8,28.5,"7.3",39.3,7.3,45.5,"101.584609355","95.235426828",27.5,50,38.7,38.7,22.5,49.7,16.8,31.4
"d'Arnaud, Travis","518595","2024","259","13",23.2,6.6,".479",".309","0.788","0.227",".279",".258",".482",".347",".224",71.1,20.2,"7.8",35.4,11.2,41.6,"100.6666325","94.818426818",31.1,51.5,36,29.8,34.3,44.4,28.7,22.5
"Freeman, Freddie","518692","2024","504","17",15.1,12.5,".489",".391","0.880","0.197",".317",".290",".493",".382",".203",69.8,9.9,"6.8",43.7,9.9,40.8,"100.366399101","94.516333155",20.5,49.2,36.9,35.8,27.3,39.2,29.6,28.7
"Rizzo, Anthony","519203","2024","291","8",16.5,6.5,".341",".289","0.630","0.118",".243",".234",".342",".289",".109",68.3,7.4,"6.8",29.4,4.1,33,"97.683897615","92.84603367",18.8,49.9,42.2,28.4,29.4,42.2,21.1,23.4
"Stanton, Giancarlo","519317","2024","329","20",30.1,7.3,".482",".298","0.780","0.241",".286",".254",".520",".352",".266",81,98.4,"8.5",33.7,18.5,52.7,"107.995453529","98.941045074",33.4,46.8,39,38.5,22.4,39.5,23.9,24.4
"Perez, Salvador","521692","2024","486","22",20,6.8,".475",".337","0.812","0.197",".310",".281",".543",".369",".262",73.3,34.2,"7.9",41.4,12.6,44.3,"101.940985838","95.390192",27.2,57.9,48.9,28.7,22.4,32.2,33.9,26.1
"Ozuna, Marcell","542303","2024","519","35",25,10,".580",".374","0.954","0.278",".348",".294",".615",".416",".321",74.1,44,"7.4",41,17.4,54.7,"103.589040482","96.703857078",31.4,47,46.1,33.8,20.1,37.1,33.5,25.7
"Semien, Marcus","543760","2024","545","18",13.9,9.2,".404",".312","0.716","0.163",".253",".264",".412",".325",".148",68.2,3.6,"7.7",33.3,6.2,34.7,"97.793246827","93.003083759",19.7,49.6,47.1,32.8,20.1,39.7,29.7,23.7
"Springer III, George","543807","2024","469","14",19.2,10.2,".368",".301","0.669","0.149",".245",".256",".418",".330",".163",71.8,22.3,"7.4",30.5,8.5,38.3,"100.229837117","94.233137538",25.3,49.9,37.2,40.5,22.3,50,21.6,22.6
"Vargas, Ildemaro","545121","2024","256","1",10.2,6.6,".332",".306","0.638","0.079",".277",".238",".310",".270",".072",69.5,8.1,"7.2",28,1.4,31.3,"97.125276436","92.620438308",11.7,45.6,44.5,33.2,22.3,56.4,17.1,22.7
"Harper, Bryce","547180","2024","472","26",21.2,12.9,".538",".373","0.911","0.257",".312",".272",".501",".367",".230",74.3,43.4,"7.3",36.3,10.6,47.6,"102.672817935","95.713034304",27.7,51.3,34.4,34.4,31.2,36.7,33.1,26.4
"Díaz, Elias","553869","2024","327","5",19.6,5.2,".378",".315","0.693","0.108",".325",".236",".330",".270",".094",73.6,39.3,"7",30.6,4.1,32.2,"98.406201083","93.210410167",27.7,54.6,33.1,43.8,23.1,50.8,17.8,25.2
"Suárez, Eugenio","553993","2024","475","18",27.6,8.4,".428",".309","0.737","0.194",".289",".239",".421",".321",".182",71.9,19.5,"7.8",40.7,9.8,40,"99.871873197","94.006428639",29.5,46.7,49.2,29.2,21.7,32.2,31.2,27.5
"Urshela, Gio","570482","2024","325","5",15.1,5.8,".333",".286","0.619","0.090",".271",".267",".388",".305",".121",68.1,3.2,"7.1",37.5,4.3,28,"96.743526378","92.424362688",18.9,52.9,30.1,39.1,30.9,50,19.1,28.1
"Arenado, Nolan","571448","2024","480","12",13.8,7.1,".390",".324","0.714","0.122",".289",".253",".359",".298",".106",70.8,14.6,"8.3",36,3.2,29.9,"96.682072353","92.344270428",17.7,46.2,45.3,36,18.7,38.9,24.5,26.9
"Haniger, Mitch","571745","2024","369","11",29,9.8,".342",".287","0.629","0.136",".268",".226",".388",".305",".162",72.7,24.9,"7.1",32.6,9.4,47.3,"101.204720982","95.225216457",31.6,43.4,43.3,36.2,20.5,42.4,29,22.8
"Hernández, Enrique","571771","2024","311","7",20.6,8,".336",".277","0.613","0.120",".251",".221",".343",".278",".122",71.7,20.9,"7.3",36.5,4.5,41,"99.290632455","93.865643727",22.6,47.4,35.1,39.6,25.2,36,29.7,25.2
"Singleton, Jon","572138","2024","324","10",27.5,11.1,".367",".321","0.688","0.129",".307",".227",".362",".300",".135",71.9,21.8,"7.1",35.2,7.5,38.7,"100.015916768","94.116017778",29,40.1,40.7,35.7,23.6,42.2,27.1,26.1
"Taylor, Michael A.","572191","2024","259","4",32.8,8.1,".304",".271","0.575","0.095",".303",".224",".358",".289",".134",73.8,38.2,"7.1",33.3,11.8,41.2,"100.705719583","94.695825524",38.5,49.7,37.9,47.7,14.4,44.4,26.8,24.2
"Walker, Christian","572233","2024","461","23",24.7,10.4,".476",".338","0.814","0.222",".293",".249",".482",".361",".232",75.1,55,"7.5",36.2,14.7,46.4,"103.046162177","95.914936826",25.8,47.9,43,34.5,22.5,35.8,33.4,22.2
"Yastrzemski, Mike","573262","2024","340","9",27.1,7.6,".425",".310","0.735","0.181",".317",".221",".381",".293",".160",71,5.8,"7.6",31.7,9.2,41.5,"99.743485701","94.320192207",26.5,42.9,50,31.2,18.8,38.1,30.7,21.6
"Contreras, Willson","575929","2024","328","15",27.4,12.5,".478",".372","0.850","0.219",".329",".251",".455",".358",".204",76,62.8,"7.9",30.3,11.7,46.8,"103.904836915","96.190578191",35.1,50.1,35.1,34.6,30.3,43.6,25.5,21.3
"Canha, Mark","592192","2024","412","7",21.1,10.9,".349",".340","0.689","0.112",".291",".214",".310",".289",".096",68.1,3.1,"7.2",32.1,3.4,37.3,"98.121885672","93.208730933",22.5,41.7,42.9,35.4,21.6,49.3,21.6,22.4
"Castellanos, Nick","592206","2024","505","16",20.6,6.1,".417",".303","0.720","0.170",".285",".262",".434",".324",".172",71.7,22.2,"7.6",35.5,8,38.3,"99.328683315","93.782539807",29.8,58.9,37.7,36.9,25.3,38.8,30.6,25.6
