"last_name, first_name",player_id,year,woba
"Trout, Mike",545361,2024,0.365
"Vargas, Miguel",678246,2024,0.258
"Soto, Juan",665742,2024,0.424
"Mitchell, Garrett",669003,2024,0.349
"Langford, Wyatt",694671,2024,0.296
"Johnson, Bryce",669369,2024,0.243
"Neto, Zach",687263,2024,0.33
"Turner, Trea",607208,2024,0.348
"Fermin, Freddy",666023,2024,0.325
"Manzardo, Kyle",700932,2024,0.288
"Melendez Jr., MJ",669004,2024,0.304
"Wells, Austin",669224,2024,0.339
"Henderson, Gunnar",683002,2024,0.38
"McCann, Kyle",668832,2024,0.32
"Mountcastle, Ryan",663624,2024,0.314
"McCann, James",543510,2024,0.27
"Lopez, Otto",672640,2024,0.272
"Mullins II, Cedric",656775,2024,0.294
"García, Adolis",666969,2024,0.295
"Acuña Jr., Ronald",660670,2024,0.322
"d'Arnaud, Travis",518595,2024,0.328
"Chapman, Matt",656305,2024,0.336
"Fairchild, Stuart",656413,2024,0.288
"Loftin, Nick",679845,2024,0.242
"Peralta, David",444482,2024,0.332
"Trevino, Jose",624431,2024,0.302
"Ruiz, Keibert",660688,2024,0.259
"Taylor, Tyrone",621438,2024,0.295
"Cronenworth, Jake",630105,2024,0.321
"Drury, Brandon",592273,2024,0.216
"Cave, Jake",595909,2024,0.305
"Santander, Anthony",623993,2024,0.35
"Nevin, Tyler",663527,2024,0.279
"Merrifield, Whit",593160,2024,0.282
"Morel, Christopher",666624,2024,0.289
"Stewart, DJ",621466,2024,0.291
"Gurriel Jr., Lourdes",666971,2024,0.321
"Renfroe, Hunter",592669,2024,0.311
"Semien, Marcus",543760,2024,0.304
"Marsh, Brandon",669016,2024,0.321
"Rojas, Johan",679032,2024,0.259
"Abreu, Wilyer",677800,2024,0.354
"Higashioka, Kyle",543309,2024,0.335
"Guillorme, Luis",641645,2024,0.266
"Duran, Jarren",680776,2024,0.375
"Carpenter, Kerry",681481,2024,0.391
"Campusano, Luis",669134,2024,0.286
"Kepler, Max",596146,2024,0.298
"Brown, Seth",664913,2024,0.305
"García, Luis",671277,2024,0.335
"Springer III, George",543807,2024,0.3
"Miranda, Jose",669304,2024,0.349
"De La Cruz, Bryan",650559,2024,0.29
"Garver, Mitch",641598,2024,0.276
"Espinal, Santiago",669289,2024,0.307
"Betts, Mookie",605141,2024,0.381
"Young, Jacob",696285,2024,0.293
"Andujar, Miguel",609280,2024,0.305
"Sheets, Gavin",657757,2024,0.299
"Robles, Victor",645302,2024,0.321
"Grisham, Trent",663757,2024,0.286
"Baldwin, Brooks",681460,2024,0.255
"Anderson, Tim",641313,2024,0.207
"Lux, Gavin",666158,2024,0.313
"Wong, Connor",657136,2024,0.333
"Malloy, Justyn-Henry",669234,2024,0.306
"Hayes, Ke'Bryan",663647,2024,0.255
"Fitzgerald, Tyler",666149,2024,0.38
"Canha, Mark",592192,2024,0.308
"Garcia, Maikel",672580,2024,0.275
"Ramírez, Harold",623912,2024,0.265
"Hill, Derek",656537,2024,0.294
"McMahon, Ryan",641857,2024,0.321
"Valdez, Enmanuel",665839,2024,0.292
"Adell, Jo",666176,2024,0.301
"Polanco, Jorge",593871,2024,0.287
"Lowe, Brandon",664040,2024,0.345
"Taylor, Chris",621035,2024,0.253
"Heim, Jonah",641680,2024,0.273
"Rodgers, Brendan",663898,2024,0.321
"Walls, Taylor",670764,2024,0.24
"McKinstry, Zach",656716,2024,0.28
"Kelenic, Jarred",672284,2024,0.292
"Mendick, Danny",664901,2024,0.247
"Vientos, Mark",668901,2024,0.372
"Tovar, Ezequiel",678662,2024,0.323
"Rengifo, Luis",650859,2024,0.334
"Cameron, Daz",663662,2024,0.26
"Bell, Josh",605137,2024,0.315
"Alexander, Blaze",677942,2024,0.297
"Marte, Noelvi",682622,2024,0.241
"Joe, Connor",656582,2024,0.308
"Alvarez, Francisco",682626,2024,0.291
"Urshela, Gio",570482,2024,0.273
"Cooper, Garrett",643265,2024,0.253
"Díaz, Elias",553869,2024,0.301
"Butler, Lawrence",671732,2024,0.356
"Kim, Ha-Seong",673490,2024,0.308
"Davis, J.D.",605204,2024,0.282
"Yoshida, Masataka",807799,2024,0.344
"Shewmake, Braden",669699,2024,0.144
"Gelof, Zack",680869,2024,0.279
"Schneider, Davis",676914,2024,0.278
"Casali, Curt",592200,2024,0.235
"Thomas, Alek",677950,2024,0.265
"Lee, Korey",686676,2024,0.259
"Crawford, J.P.",641487,2024,0.287
"Pache, Cristian",665506,2024,0.251
"Rojas, Josh",668942,2024,0.296
"Perdomo, Geraldo",672695,2024,0.324
